\gg,much greater, much larger, Ehrenfest's urn model, technique fine-tuned, pricing calibration
\between,interval,relation,conditional probability,logical implication,triangle
\nasymp,asymptoticallyequal,larger{}^{+},kindof,headless
\nless,not equal,not less than,non-linear programming,non-negative integer,nonlinear programming
\ngtr,greater than, not greater than or equal to, not greater, remains greater than
\nleq,inequality,not less than or equal to,discrete mathematics,relation,greater than or not equal to
\ngeq,inequality,greater than or equal to,non-negative integer,large sample size,convergence
\lesssim,approximation,inequality,order of magnitude,similar,estimation
\gtrsim,approximation relation,greater than or equal to,electroweak theory,heavier particle,velocity of light
\nlesssim,relation symbol,comparison,approximation,mathematical inequality,less than symbol
\ngtrsim,greater than or similar to,not greater than or similar to,much greater than or similar to,not much greater than or similar to
\lessgtr,inequality,less than or equal to,greater than or equal to,strict inequality,comparing values
\gtrless,inequality sign,relation,negative charge,greater less,wavelength
\nlessgtr,inequality,math symbol,relational operator,compare,vector
\ngtrless,not greater less,not less greater,less greater,greater less,rising falls
\prec,strict inequality,ordering relation,quasi-order,lesser precedence,ordering operation
\succ,successor,succession,successive,successively,successive step
\preccurlyeq,order relation,equivalence relation,pseudo-precedence constraint,hierarchical relationship,ordering of probability distributions
\succcurlyeq,partial order,significant,algebraically,astrophysical,currently
\precsim,approximation, upper bound, lower bound, estimate, approximation error
\succsim,,relation,weakly-precedes,strictly-precedes,weakly-succeeds
\nprec,binary relation,algebraic multiplicity,quantum information theory,tensor network,quantum state
\nsucc,successor,number of successor elements,addition of successor,sequence of successors,cardinality of successor
\subset,proper subset,subset,empty set,subset relation,subset symbol
\supset,superset, implies, mathematics, not, proposition
\nsubset,subset,not subset,some subclasses,part nonempty,assign nonempty,subgraph,subvector,has subset,denoted,subset inclusion,subset collection
\nsupset,superset,set containing,non-superset,not a superset,strict superset
\subseteq,subset,subseteq,proper subset,not a subset,subset of.
\supseteq,subset,proper subset,equation,stricter condition
\nsubseteq,subset,not a subset,item is not a subset,bigger than the empty set,smaller than the empty set
\nsupseteq,superset,not a superset,not a superset or equal to,not a super set,not a super set or equal to
\subsetneq,strict inclusion,proper subset,not equal to,subset,improper subset
\supsetneq,strict superset,strict subset relation,proper superset,strict inclusion,strict proper, strict super set
\cupleftarrow,union over left arrow,union incident to the left,union added to the left,union left combined,union of leftward movement
\cupdot,disjoint union,disjoint sum,probability measure,group algebra,slightly add
\uplus,disjoint union,set sum,symmetric sum,direct sum,disjoint sum
\sqsubset,subset,strict subset,set inclusion,set contained in,proper subset
\sqsupset,Hermitian adjoint, adjoint matrix, Schwarz-Christoffel transformation, adjoint operator, generalized adjoint
\sqsubseteq,subtype relation, partial order, lattice, poset, mathematics
\sqsupseteq,superset of, larger or equal,contains as a superset,superior and equal,square superset
\sqcap,meet operator,meet operation,meet function,intersection operator,intersection operation
\sqcup,join, set union, disjoint union, hodge dual, symmetric difference
\oplus,direct sum,boolean exclusive or operation,cyclic group element,signed intersection,blum-ko's `just-first' semantics
\ominus,difference operator,negative structure,restricted difference,accretionary prism,power ether
\otimes,tensor product,operator product,Kronecker product,cartesian product,Hadamard product
\oslash,diameter,set subtraction,empty set,circle with slash,null set
\odot,metric tensor,tensor product,outer product,vector bundle,Toeplitz operator
\circledcirc,flux tube,parity transformation,iterated integral,cayley-hamilton theorem,astrobiology
\circledast,convolution,circled ring operator,convolved with,complex Morlet wavelet function,group convolution symbol
\circledequal,congruent,circle theorem,equally likely,outcome,nonsimilar
\circleddash,damping ratio,spectral radius,convolution,rational polynomial,deconvolution
\boxplus,Minkowski sum,direct sum,convolution,additive category,box product
\boxminus,minus operator,set difference,box-size symbol,box-minus expression,subtraction
\boxtimes,tensor product,algebraic structure,cartesian closed category,monoidal category,group theory
\boxdot,scalar,matrix,vector,inner product space,dot product
\vdash,derives,satisfies,logically entails,model gives
\dashv,perpendicular, Galois connection, orthogonal projection, logical entailment, material implication
\top,maximum element,upper bound,peak point,ceiling limit,highest value
\bot,orthogonal, bottom, boundary, intersection, complement
\assert,hypothesis,true or false statement,proposition,lemma,theorem
\models,satisfies,mathematical model,training,linear regression,deep learning
\vDash,models,logical consequence,satisfies,entails,semantics
\Vdash,entails,satisfies,is independent of,inconsistency,consistent
\Vvdash,entails,proofs,semantic models,deductions,logical consequences
\VDash,double turnstile,provability relation,sequent calculus,logical consequence,reversed turnstile
\nvdash,invalid inference, introduction of not-truth, not implies, not deducible, not provable
\nvDash,does not imply,not true,not provable,not deducible,unsatisfiable
\nVdash,forces,models,valid,does not force,does not model
\nVDash,turnstile symbol,modal operator,semantics for intuitionistic logic,natural deduction proof,semantic consequence
\prurel,partial order relation,partial preorder relation,precision related,probability related,prefix rule relation
\scurel,turbulent,scalar,magnetic,turbulence,kinetic
\vartriangleleft,subgroup relation,normal subgroup,subgroup inclusion,proper subgroup relation,strict subgroup relation
\vartriangleright,angle,vector,triangular relation,subgroup action,intersection
\trianglelefteq,normal subgroup,triangle inequality,right-angled triangle,triangle similarity,symmetric relation
\trianglerighteq,symbolic computations,mathematical models,quantum field theory,vector spaces,quantum mechanics
\origof,origin of coordinates,origin of replication,origin of species,origin of life,origin of mutation
\imageof,photograph,vector field,electron density map,graph of a function,heat map
\multimap,arrow,relation,function,mapping,correspondence
\hermitmatrix,Hermitian matrix,Hermitian matrices,Hermitian matrix constraint,Hermitian matrix completion,Hermitian matrix decomposition
\intercal,transpose matrix,orthogonal complement,Perp operator,dual basis,group of units
\veebar,logical disjunction,probability theory,boolean algebra,information theory,cryptography
\barwedge,wedge product,hodge dual,tensor product,vector bundle
\barvee,join,regular edge order graph,intersection point,meet,interior permanently fixed quadrilaterals
\measuredrightangle,angle,square,rectangle,quadrilateral,right triangle
\varlrtriangle,acute triangle,right triangle,scalene triangle,triangle,geometry
\bigwedge,logical conjunction,universal quantifier,wedge product,truncation operator,vector space basis
\bigvee,logical disjunction,quantifier,universal quantifier,existential quantifier,wedge
\bigcap,intersection,set theory,mathematics,geometry,analysis
\bigcup,union,set theory,intersection,disjoint sets,mathematics
\smwhtdiamond,subdivision,disjunction,Nielsen fixed point theorem,upper triangular matrix,algebraic set
\cdot,scalar multiplication,vector normalization,inner product,decimal separator,matrix multiplication
\star,convolution,gradient operator,star product,Weyl algebra,star-shaped region
\divideontimes,dividend,quotient,real numbers,workplace mathematics,division formulas
\bowtie,relation,disjoint union,algebraic sum,join operation,semidirect product
\ltimes,semi-direct product,group theory,category theory,representation theory,algebra
\rtimes,cross product,symmetric closure,closed permutation,semidirect product,external direct product
\leftthreetimes,tensor product,vector space operation,module operation,group action on a set,vector space tensor module
\rightthreetimes,scalar product,three times multiplication,theorem proof,defining relation,vector space basis
\backsimeq,equivalence relation,isomorphic,approximation,homeomorphic,asymptotically
\curlyvee,disjoint union, probability measure, vertex set, edge set, conditional probability
\curlywedge,angle,meets at vertex,directed edge,curl operator,intersecting lines
\Subset,subset,subset relation,subset symbol,subset inclusion,finite subset
\Supset,contains,improper integral,covariance matrix,linear regression model,superset
\Cap,intersection,capacity,gas absorption,capacitance,proposition
